Região,Estado,UF,População Censo 2010,População Prevista 2013
Sudeste  ,Espírito Santo  ,ES,3514952,3839366
Sudeste  ,Minas Gerais  ,MG,19597330,20593356
Sudeste  ,Rio de Janeiro  ,RJ,15989929,16369179
Sudeste  ,São Paulo  ,SP,41262199,43663669
Sul  ,Paraná  ,PR,10444526,10997465
Sul  ,Rio Grande de Sul  ,RS,10693929,11164043
Sul  ,Santa Catarina  ,SC,6248436,6634254
Centro-Oeste  ,Distrito Federal  ,DF,2570160,2789761
Centro-Oeste  ,Goiânia  ,GO,6003788,6434048
Centro-Oeste  ,Mato Grosso  ,MT,3035122,3182113
Centro-Oeste  ,Mato Grosso do Sul  ,MS,2449024,2587269
Nordeste  ,Alagoas  ,AL,3120494,3300935
Nordeste  ,Bahia  ,BA,14016906,15044137
Nordeste  ,Ceará  ,CE,8452381,8778576
Nordeste  ,Maranhão  ,MA,6574789,6794301
Nordeste  ,Paraíba  ,PB,3766528,3914421
Nordeste  ,Pernambuco  ,PE,8796448,9208550
Nordeste  ,Piauí  ,PI,3118360,3184166
Nordeste  ,Rio Grande do Norte  ,RN,3168027,3373959
Nordeste  ,Sergipe  ,SE,2068017,2195662
Norte  ,Acre  ,AC,733559,776463
Norte  ,Amapá  ,AP,669526,734996
Norte  ,Amazonas  ,AM,3483985,3807921
Norte  ,Pará  ,PA,7581051,7969654
Norte  ,Rondônia  ,RO,1562409,1728214
Norte  ,Roraima  ,RR,450479,488072
Norte  ,Tocantins  ,TO,1383445,1478164
